id,subject_id,subject_name,date,start_time,end_time,duration_hours,session_type
SCH20260604143954108358,SUB20260604143838741672,Mathematics,2026-06-04,08:00,09:00,1.0,Study
SCH20260604143954108391,SUB20260604143851457987,Physics,2026-06-04,09:00,10:45,1.5,Study
SCH20260604143954108409,SUB20260604143918737345,Chemistry,2026-06-04,11:00,13:00,2.0,Study
SCH20260604143954108425,SUB20260604143935691998,English,2026-06-04,13:00,13:45,0.5,Study
SCH20260604143954108443,SUB20260604143838741672,Mathematics,2026-06-05,08:00,09:00,1.0,Study
SCH20260604143954108457,SUB20260604143851457987,Physics,2026-06-05,09:00,10:45,1.5,Study
SCH20260604143954108470,SUB20260604143918737345,Chemistry,2026-06-05,11:00,13:00,2.0,Study
SCH20260604143954108483,SUB20260604143935691998,English,2026-06-05,13:00,13:45,0.5,Study
SCH20260604143954108499,SUB20260604143838741672,Mathematics,2026-06-06,08:00,09:00,1.0,Study
SCH20260604143954108512,SUB20260604143851457987,Physics,2026-06-06,09:00,10:45,1.5,Study
SCH20260604143954108524,SUB20260604143918737345,Chemistry,2026-06-06,11:00,13:00,2.0,Study
SCH20260604143954108536,SUB20260604143935691998,English,2026-06-06,13:00,13:45,0.5,Study
SCH20260604143954108552,SUB20260604143838741672,Mathematics,2026-06-07,08:00,09:00,1.0,Study
SCH20260604143954108564,SUB20260604143851457987,Physics,2026-06-07,09:00,10:45,1.5,Study
SCH20260604143954108576,SUB20260604143918737345,Chemistry,2026-06-07,11:00,13:00,2.0,Study
SCH20260604143954108587,SUB20260604143935691998,English,2026-06-07,13:00,13:45,0.5,Study
SCH20260604143954108603,SUB20260604143838741672,Mathematics,2026-06-08,08:00,09:00,1.0,Study
SCH20260604143954108614,SUB20260604143851457987,Physics,2026-06-08,09:00,10:45,1.5,Study
SCH20260604143954108626,SUB20260604143918737345,Chemistry,2026-06-08,11:00,13:00,2.0,Study
SCH20260604143954108637,SUB20260604143935691998,English,2026-06-08,13:00,13:45,0.5,Study
SCH20260604143954108652,SUB20260604143838741672,Mathematics,2026-06-09,08:00,09:00,1.0,Study
SCH20260604143954108665,SUB20260604143851457987,Physics,2026-06-09,09:00,10:45,1.5,Study
SCH20260604143954108676,SUB20260604143918737345,Chemistry,2026-06-09,11:00,13:00,2.0,Study
SCH20260604143954108688,SUB20260604143935691998,English,2026-06-09,13:00,13:45,0.5,Study
